Symbol	Company	Num_Employees	Revenue_Million_TTM	profit_Million_TTM	expanse_million	enterprise_val_Million
AAL	American Airlines Group Inc	124300	40369	30300.0	10069	40792.08448
AAPL	Apple Inc	116000	220456	84263.0	136193	834284.617728
ADBE	Adobe Systems Inc	15706	6152	5034.522	1118	64658.8416
ADI	Analog Devices Inc	10000	3636	2227.173	1409	21742.505984
ADP	Automatic Data Processing Inc	57000	12213	4827.5	7385	42161.000448
ADSK	Autodesk Inc	9000	2031	1689.1	341	20662.030336
AKAM	Akamai Technologies Inc	6672	2381	1531.048	850	8424.699904
ALXN	Alexion Pharmaceuticals Inc	3121	3252	2826.0	426	28550.211584
AMAT	Applied Materials Inc	15600	11845	4511.0	7334	46129.053696
AMGN	Amgen Inc	19200	22927	18829.0	4098	113416.691712
AMZN	Amazon.com Inc	341400	142572	47722.0	94850	453007.147008
ATVI	Activision Blizzard Inc	9400	6879	4214.0	2665	43161.677824
AVGO	Broadcom Ltd	15700	15608	5940.0	9668	102776.848384
BIDU	Baidu Inc	45887	10390	5075.246	5315	59738.791936
BIIB	Biogen Inc	7400	11532	9970.1	1562	57543.077888
BMRN	Biomarin Pharmaceutical Inc	2293	1183	907.234	276	15596.580864
CA	CA Inc	11000	4032	3186.0	846	12652.886016
CELG	Celgene Corp	7132	11677	10791.2	886	98748.121088
CERN	Cerner Corp	24400	4827	4017.357	809	21413.5296
CHKP	Check Point Software Technologies Ltd	4281	1772	1539.298	233	15987.535872
CHTR	Charter Communications Inc	91500	36636	10348.0	26288	146769.477632
CTRP	Ctrip.Com International Ltd	37000	3066	2086.292485	980	29753.67168
CTAS	Cintas Corp	35000	5143	2129.87	3013	13903.521792
CSCO	Cisco Systems Inc	71959	48569	30960.0	17609	131489.21856
CTXS	Citrix Systems Inc	9600	3422	2858.724	563	13210.015744
CMCSA	Comcast Corp	159000	82076	55940.0	26136	244342.276096
COST	Costco Wholesale Corp	126000	121193	15818.0	105375	74280.075264
CSX	CSX Corp	26628	11320	8287.0	3033	58185.908224
CTSH	Cognizant Technology Solutions Corp	261200	13831	5379.0	8452	34778.05056
DISCA	Discovery Communications Inc	7000	6549	4065.0	2484	23106.400256
DISH	DISH Network Corp	16000	14947	3947.479	10999	39146.176512
DLTR	Dollar Tree Inc	55300	20719	6394.7	14324	24707.31776
EBAY	eBay Inc	12600	9059	6972.0	2087	39141.371904
ESRX	Express Scripts Holding Co	25600	100150	8620.5	91530	48367.046656
EXPE	Expedia Inc	20075	9058	7176.866	1881	20927.551488
FAST	Fastenal Co	19822	4023	1964.777	2058	13241.790464
FB	Facebook	18770	30287	23849.0	6438	402536.464384
FISV	Fiserv Inc	23000	5568	2546.0	3022	29785.624576
FOXA	21st Century Fox Class A	21500	28398	27326.0	1072	67171.561472
GILD	Gilead Sciences Inc	9000	29101	26129.0	2972	81674.969088
GOOGL	Alphabet Class A	73992	94764	55134.0	39630	572733.587456
HAS	Hasbro Inc	5400	5038	3114.348	1923	12841.873408
HSIC	Henry Schein Inc	21000	11781	3233.969	8547	15354.020864
HOLX	Hologic Inc	5333	2894	1563.3	1330	14366.377984
ILMN	Illumina Inc	5500	2424	1666.448	757	25812.041728
INCY	Incyte Corp	980	1226	1047.532	178	23371.534336
INTC	Intel Corp	106000	60480	36191.0	24289	176520.200192
INTU	Intuit Inc	7900	4851	3964.0	887	32967.041024
ISRG	Intuitive Surgical Inc	3755	2784	1890.1	894	29663.066112
JBHT	J.B. Hunt Transport Services Inc	22190	6655	2638.77	4017	10407.749632
JD	JD.com Inc	122405	40967	5672.77	35294	54815.985664
KLAC	KLA-Tencor Corp	5580	3460	1821.102	1639	15968.333824
KHC	Kraft Heinz Co	41000	26281	9586.0	16695	138148.282368
LBTYA	Liberty Global PLC	41000	19850	15402.6	4448	73723.543552
LBTYK	Liberty Global PLC	41000	19850	15403.0	4447	73064.603648
LRCX	Lam Research Corp	8600	7214	2618.922	4596	20999.995392
MAR	Marriott International Inc	226500	4020	2626.0	1394	46689.54624
MAT	Mattel Inc	32000	5322	2554.391	2768	9609.783296
MDLZ	Mondelez International Inc	90000	25881	10128.0	15753	84743.643136
MNST	Monster Beverage Corp	1910	3111	1942.0	1169	26401.128448
MSFT	Microsoft Corp	114000	87247	52540.0	34707	492965.429248
MU	Micron Technology Inc	31400	14732	2505.0	12227	40671.096832
MXIM	Maxim Integrated Products Inc	7213	2259	1244.388	1015	11753.938944
MYL	Mylan NV	35000	11605	4697.0	6908	35346.735104
NCLH	Norwegian Cruise Line Holdings Ltd	30000	4947	2024.115	2923	18023.706624
NFLX	Netflix Inc	3200	9509	2800.768	6708	70353.895424
NTES	NetEase Inc	15948	6369	3117.32	3252	31227.136
NVDA	NVIDIA Corp	10299	7542	4063.0	3479	70884.999168
ORLY	O Reilly Automotive Inc	74580	8653	4509.011	4144	25272.768512
PAYX	Paychex Inc	13900	3106	2951.9	154	20196.9152
PCAR	PACCAR Inc	23000	16971	3089.4	13881	28132.569088
PCLN	The Priceline Group	20500	11014	10314.692	699	92037.24288
PYPL	PayPal Holdings Inc	18100	11272	10842.0	430	50774.544384
QCOM	Qualcomm Inc	30500	23242	13805.0	9437	82741.231616
