Symbol	Company	num_employees	revenue_million_TTM	profit_Million_TTM	expense_million	enterprise_val_Million
AAL	American Airlines Group Inc	124300	40369	30300	10069	40792.08448
AAPL	Apple Inc	116000	220456	84263	136193	834284.6177
ADBE	Adobe Systems Inc	15706	6152	5034	1118	64658.8416
ADI	Analog Devices Inc	10000	3636	2227	1409	21742.50598
ADP	Automatic Data Processing Inc	57000	12213	4828	7385	42161.00045
ADSK	Autodesk Inc	9000	2031	1690	341	20662.03034
AKAM	Akamai Technologies Inc	6672	2381	1531	850	8424.699904
ALXN	Alexion Pharmaceuticals Inc	3121	3252	2826	426	28550.21158
AMAT	Applied Materials Inc	15600	11845	4511	7334	46129.0537
AMGN	Amgen Inc	19200	22927	18829	4098	113416.6917
AMZN	Amazon.com Inc	341400	142572	47722	94850	453007.147
ATVI	Activision Blizzard Inc	9400	6879	4214	2665	43161.67782
AVGO	Broadcom Ltd	15700	15608	5940	9668	102776.8484
BIDU	Baidu Inc	45887	10390	5075	5315	59738.79194
BIIB	Biogen Inc	7400	11532	9970	1562	57543.07789
BMRN	Biomarin Pharmaceutical Inc	2293	1183	907	276	15596.58086
CA	CA Inc	11000	4032	3186	846	12652.88602
CELG	Celgene Corp	7132	11677	10791	886	98748.12109
CERN	Cerner Corp	24400	4827	4018	809	21413.5296
CHKP	Check Point Software Technologies Ltd	4281	1772	1539	233	15987.53587
CHTR	Charter Communications Inc	91500	36636	10348	26288	146769.4776
CTRP	Ctrip.Com International Ltd	37000	3066	2086	980	29753.67168
CTAS	Cintas Corp	35000	5143	2130	3013	13903.52179
CSCO	Cisco Systems Inc	71959	48569	30960	17609	131489.2186
CTXS	Citrix Systems Inc	9600	3422	2859	563	13210.01574
CMCSA	Comcast Corp	159000	82076	55940	26136	244342.2761
COST	Costco Wholesale Corp	126000	121193	15818	105375	74280.07526
CSX	CSX Corp	26628	11320	8287	3033	58185.90822
CTSH	Cognizant Technology Solutions Corp	261200	13831	5379	8452	34778.05056
DISCA	Discovery Communications Inc	7000	6549	4065	2484	23106.40026
DISH	DISH Network Corp	16000	14947	3948	10999	39146.17651
DLTR	Dollar Tree Inc	55300	20719	6395	14324	24707.31776
EBAY	eBay Inc	12600	9059	6972	2087	39141.3719
ESRX	Express Scripts Holding Co	25600	100150	8620	91530	48367.04666
EXPE	Expedia Inc	20075	9058	7177	1881	20927.55149
FAST	Fastenal Co	19822	4023	1965	2058	13241.79046
FB	Facebook	18770	30287	23849	6438	402536.4644
FISV	Fiserv Inc	23000	5568	2546	3022	29785.62458
FOXA	21st Century Fox Class A	21500	28398	27326	1072	67171.56147
GILD	Gilead Sciences Inc	9000	29101	26129	2972	81674.96909
GOOGL	Alphabet Class A	73992	94764	55134	39630	572733.5875
HAS	Hasbro Inc	5400	5038	3115	1923	12841.87341
HSIC	Henry Schein Inc	21000	11781	3234	8547	15354.02086
HOLX	Hologic Inc	5333	2894	1564	1330	14366.37798
ILMN	Illumina Inc	5500	2424	1667	757	25812.04173
INCY	Incyte Corp	980	1226	1048	178	23371.53434
INTC	Intel Corp	106000	60480	36191	24289	176520.2002
INTU	Intuit Inc	7900	4851	3964	887	32967.04102
ISRG	Intuitive Surgical Inc	3755	2784	1890	894	29663.06611
JBHT	J.B. Hunt Transport Services Inc	22190	6655	2638	4017	10407.74963
JD	JD.com Inc	122405	40967	5673	35294	54815.98566
KLAC	KLA-Tencor Corp	5580	3460	1821	1639	15968.33382
KHC	Kraft Heinz Co	41000	26281	9586	16695	138148.2824
LBTYA	Liberty Global PLC	41000	19850	15402	4448	73723.54355
LBTYK	Liberty Global PLC	41000	19850	15403	4447	73064.60365
LRCX	Lam Research Corp	8600	7214	2618	4596	20999.99539
MAR	Marriott International Inc	226500	4020	2626	1394	46689.54624
MAT	Mattel Inc	32000	5322	2554	2768	9609.783296
MDLZ	Mondelez International Inc	90000	25881	10128	15753	84743.64314
MNST	Monster Beverage Corp	1910	3111	1942	1169	26401.12845
MSFT	Microsoft Corp	114000	87247	52540	34707	492965.4292
MU	Micron Technology Inc	31400	14732	2505	12227	40671.09683
MXIM	Maxim Integrated Products Inc	7213	2259	1244	1015	11753.93894
MYL	Mylan NV	35000	11605	4697	6908	35346.7351
NCLH	Norwegian Cruise Line Holdings Ltd	30000	4947	2024	2923	18023.70662
NFLX	Netflix Inc	3200	9509	2801	6708	70353.89542
NTES	NetEase Inc	15948	6369	3117	3252	31227.136
NVDA	NVIDIA Corp	10299	7542	4063	3479	70884.99917
ORLY	O Reilly Automotive Inc	74580	8653	4509	4144	25272.76851
PAYX	Paychex Inc	13900	3106	2952	154	20196.9152
PCAR	PACCAR Inc	23000	16971	3090	13881	28132.56909
PCLN	The Priceline Group	20500	11014	10315	699	92037.24288
PYPL	PayPal Holdings Inc	18100	11272	10842	430	50774.54438
QCOM	Qualcomm Inc	30500	23242	13805	9437	82741.23162
