"","ticker","comp_name","exchange","per_end_date","per_fisc_year","per_cal_year","zacks_sector_code","zacks_x_ind_code","filing_date","bus_city","bus_state_name","bus_post_code","tot_revnu","emp_cnt","res_dev_exp","tot_sell_gen_admin_exp","oper_income","pre_tax_income","tot_oper_exp","net_prop_plant_equip","tot_revnu_growth","emp_cnt_growth","res_dev_exp_growth","tot_sell_gen_admin_exp_growth","tot_oper_exp_growth","net_prop_plant_equip_growth"
"3","AAPL","APPLE INC","NSDQ",2013-09-30,2013,2013,10,199,2013-10-30,"CUPERTINO","CA","95014",170910,84400,4475,10830,48999,50155,121911,16597,0.0920208551639532,0.109067017082786,0.323572907423839,0.0786852589641434,0.203857130160862,0.0741004400724825
"4","AAPL","APPLE INC","NSDQ",2014-09-30,2014,2014,10,199,2014-10-27,"CUPERTINO","CA","95014",182795,97000,6041,11993,52503,53483,130292,20624,0.0695395237259375,0.149289099526066,0.349944134078212,0.107386888273315,0.0687468727186227,0.242634211001988
"5","AAPL","APPLE INC","NSDQ",2015-09-30,2015,2015,10,199,2015-10-28,"CUPERTINO","CA","95014",233715,110000,8067,14329,71230,72515,162485,22471,0.278563418036598,0.134020618556701,0.335374937924185,0.194780288501626,0.247083474042919,0.089555857253685
"6","AAPL","APPLE INC","NSDQ",2016-09-30,2016,2016,10,199,2016-10-26,"CUPERTINO","CA","95014",215639,116000,10045,14194,60024,61372,155615,27010,-0.0773420619130137,0.0545454545454545,0.245196479484319,-0.00942145299741781,-0.0422808259223928,0.20199368074407
"14","BA","BOEING CO","NYSE",2012-12-31,2012,2012,11,2,2013-02-11,"CHICAGO","IL","60606",81698,174400,3298,3717,6290,5910,75408,9660,0.188593875027279,0.0157251019219569,-0.158244002041858,0.090669014084507,0.198626653102747,0.0372597444432514
"15","BA","BOEING CO","NYSE",2013-12-31,2013,2013,11,2,2014-02-14,"CHICAGO","IL","60606",86623,168400,3071,3956,6562,6232,80061,10224,0.0602829934637323,-0.0344036697247706,-0.0688295936931473,0.0642991659940813,0.0617043284532146,0.0583850931677019
"16","BA","BOEING CO","NYSE",2014-12-31,2014,2014,11,2,2015-02-12,"CHICAGO","IL","60606",90762,165500,3047,3767,7473,7137,83289,11007,0.0477817669672027,-0.0172209026128266,-0.00781504395962229,-0.0477755308392316,0.0403192565668677,0.0765845070422535
"17","BA","BOEING CO","NYSE",2015-12-31,2015,2015,11,2,2016-02-10,"CHICAGO","IL","60606",96114,161400,3331,3525,7443,7155,88671,12076,0.058967409268196,-0.0247734138972809,0.0932064325566131,-0.064242102468808,0.0646183769765516,0.0971200145362043
"18","BA","BOEING CO","NYSE",2016-12-31,2016,2016,11,2,2017-02-08,"CHICAGO","IL","60606",94571,150500,4627,3616,5834,5568,88737,12807,-0.0160538527165658,-0.0675340768277571,0.389072350645452,0.0258156028368794,0.000744324525493223,0.0605332891685988
"20","CAT","CATERPILLAR INC","NYSE",2012-12-31,2012,2012,7,95,2013-02-19,"PEORIA","IL","61629",65875,125341,2466,5919,8573,8236,57302,16461,0.0953972529848017,0.00193446790142215,0.0735742272529387,0.137612915625601,0.081475889402661,0.143522056269538
